@relation  wine
@attribute Alcohol real[11.0,14.9]
@attribute MalicAcid real[0.7,5.8]
@attribute Ash real[1.3,3.3]
@attribute AlcalinityOfAsh real[10.6,30.0]
@attribute Magnesium real[70.0,162.0]
@attribute TotalPhenols real[0.9,3.9]
@attribute flavanoids real[0.3,5.1]
@attribute NonflavanoidsPhenols real[0.1,0.7]
@attribute Proanthocyanins real[0.4,3.6]
@attribute ColorIntensity real[1.2,13.0]
@attribute Hue real[0.4,1.8]
@attribute OD280/OD315 real[1.2,4.0]
@attribute Proline real[278.0,1680.0]
@attribute Class{1,2,3}
@inputs Alcohol, MalicAcid, Ash, AlcalinityOfAsh, Magnesium, TotalPhenols, flavanoids, NonflavanoidsPhenols, Proanthocyanins, ColorIntensity, Hue, OD280/OD315, Proline
@outputs Class
@data
13.398808260867096, 1.71, 2.2668150523134543, 15.6, 127.0, 2.8, 3.06, 0.28, 2.29, 5.64, 1.04, 3.92, 1372.5226129895361, 1
13.2, 1.78, 1.478244217806087, 11.2, 100.0, 2.016483262301535, 2.76, 0.26, 1.7417832631016577, 4.38, 1.05, 3.4, 1050.0, 1
13.24, 2.59, 2.87, 21.0, 75.39046717560628, 2.8, 2.69, 0.5943730022977974, 2.6928322856996285, 4.32, 1.04, 2.93, 1464.119476611754, 1
14.2, 1.76, 2.45, 15.081608576905357, 112.0, 1.5170682258943722, 3.39, 0.34, 1.97, 6.75, 1.05, 2.85, 1450.0, 1
13.572061280527166, 2.4101774938195426, 2.27, 16.0, 100.04981240119082, 1.3600157566508315, 3.15, 0.22, 1.85, 7.22, 0.569532810749843, 3.55, 1045.0, 1
14.12, 1.48, 2.32, 16.8, 95.0, 2.2, 3.7071857311313936, 0.26, 1.57, 10.68479991068244, 0.6919115439737009, 2.82, 1280.0, 1
14.06, 1.63, 2.28, 16.0, 126.0, 3.0, 0.583668195894842, 0.24, 2.1, 4.342957100305464, 1.09, 3.7004752821522935, 780.0, 1
12.93, 1.2562190936310724, 2.65, 18.6, 102.0, 2.41, 2.41, 0.5279920531036314, 1.98, 4.5, 1.03, 3.52, 770.0, 1
11.746824140857631, 1.81, 2.61, 20.0, 96.0, 2.53, 2.61, 0.28, 1.66, 3.52, 0.9935753636978509, 3.82, 845.0, 1
13.992371301141654, 4.780613100663902, 2.14, 15.273901251208478, 94.0, 1.311025847404037, 2.19, 0.27, 1.35, 3.95, 1.02, 2.77, 1285.0, 1
13.73, 1.5, 2.7, 22.5, 101.0, 3.0, 3.25, 0.29, 0.6413782202269366, 5.7, 1.19, 2.71, 1285.0, 1
