@relation  ionosphere
@attribute Pulse1 integer[0,1]
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class{g,b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
0, 0.017259143995414394, 0.084, 1.0, 0.174, 1.0, -0.133, 0.982, 0.645, 1.0, 0.479, 1.0, 0.591, -0.06787954947629005, 0.708, 1.0, -0.9241575090969348, 1.0, 0.4009357037490551, 1.0, 1.0, 0.98, 1.0, 0.8427570233686728, -0.40915965507951557, 0.839, 0.8714446131772, 0.748, 1.0, -0.29163712246614437, 1.0, 0.525, 1.0, g
1, 1.0, 0.004, 1.0, -0.012, 1.0, -0.03, 1.0, -0.07, 0.978, -0.063, 1.0, -0.5248614245850736, 0.973, -0.079, 0.926, -0.137, 0.942, -0.143, 0.996, -0.142, 0.948, -0.056739621576094024, 0.895, -0.209, 0.7998504009563128, 0.010436154671580544, 0.856, -0.186, -0.9635490751740404, -0.201, 0.839, -0.208, g
1, 0.982, 0.009, 0.981, 0.4280730060832745, 0.976, 0.9869818626872686, 0.959, -0.07, 0.99, -0.045, 0.947, -0.111, 0.1999461825936908, -0.128, 0.942, -0.116, 0.797, -0.192, -0.2276911896717947, -0.174, 0.863, -0.187, 0.885, -0.11554004231364001, 0.818, -0.211, 0.785, -0.3335516413984707, 0.769, -0.231, 0.743, 0.5779727687076601, g
1, 1.0, 1.0, 0.6661004944858375, 0.5515771912298113, 0.91, 1.0, -0.27, 0.7127856308856946, -0.832, 1.0, -1.0, 1.0, -1.0, 0.725, -1.0, -0.578, -1.0, -0.421, -1.0, -1.0, -0.528, -1.0, 0.9, -1.0, 1.0, -1.0, 1.0, 0.2831844965189658, 1.0, -0.347, -0.4118651546099841, 0.348, g
1, -0.679, -0.010964757998232932, -1.0, 1.0, 1.0, 0.633, 0.035, -1.0, 0.2008253883572355, -1.0, 1.0, 1.0, 0.887, -1.0, -1.0, 1.0, -0.5095579837238318, 1.0, 1.0, -1.0, -1.0, -1.0, -0.189, 1.0, 1.0, -1.0, -0.4336627091825155, -1.0, -1.0, 1.0, 1.0, 0.336, b
1, 0.083, -0.207, -0.6637445305622519, 1.0, -1.0, 1.0, 0.719, 0.472, 0.7371263498759657, -0.627, -1.0, 0.4938305102972851, -0.22943052212461612, -0.20023043947299723, -0.028, 0.592, -0.421, 0.02490105922913677, -0.746, -1.0, -1.0, -0.468, -1.0, 0.238, 1.0, -1.0, -1.0, -0.389, -1.0, 0.31165056473381125, -1.0, 0.615, b
1, 1.0, -0.023, 1.0, -0.6657173348743741, 1.0, -0.067, 1.0, -0.088, 1.0, 0.562, 1.0, 0.9329774426140305, 1.0, -0.2537914349822773, 1.0, 0.3727634645469402, 1.0, -0.176, 0.995, -0.189, 0.956, -0.201, 1.0, -0.923, 0.873, -0.218, 0.829, -0.224, -0.681408748422146, 0.21344796549841938, 0.74, -0.23, g
0, -1.0, 1.0, 1.0, -0.12880771074649122, 0.8048882903076915, 0.6569187286442422, 0.0, -0.37110420068984484, 0.7254510325671759, 1.0, -1.0, -0.188, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -0.3089733997613595, 1.0, -1.0, 0.694262399732662, 0.2960974209234346, 1.0, 1.0, 0.0, 0.0, -1.0, -0.9644472431308699, b
1, 0.172, -1.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, -0.614, -0.677, 0.805, 0.361, 0.52, -0.7002747239778457, 0.38231030930353094, 0.0, 0.6104795745598337, -0.271, -0.848, 0.962, 1.0, 1.0, -1.0, 0.677, 0.0, 0.0, 0.0, 0.0, b
0, 0.02342144004614588, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 0.23824609844904532, 1.0, -1.0, -0.75, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 0.2526327812235414, -1.0, -1.0, 0.0, 0.0, 1.0, -1.0, b
