@relation  ionosphere
@attribute Pulse1 integer[0,1]
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class{g,b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 1.0, 0.067, 1.0, -0.184, 1.0, -0.273, 1.0, -0.431, 1.0, -0.413, 0.962, -0.519, 0.907, -0.59, 0.892, -0.49925319093727816, 0.699, -0.71, 0.706, -0.763, 0.631, -0.805, 0.559, -0.891, 0.472, -0.865, 0.403, -0.837, -0.8321859496254906, -0.891, 0.23, -0.892, g
1, 0.5056959128719047, 0.025, 0.666, 0.05, 0.572, 0.188, 0.088, 0.341, 0.636, 0.121, 0.621, -0.8372276178182168, 0.786, 0.11, 0.584, 0.182, 0.144, 0.412, 0.539, 0.213, 0.514, 0.226, 0.488, 0.237, 0.462, 0.246, 0.434, 0.253, 0.407, 0.258, 1.0, 0.33, g
1, 0.713, -0.026, 0.413, 0.3606636401639933, 0.8800687412452113, -0.095, 0.997, -0.102, 1.0, -0.11, 0.59, 1.0, 0.837, -1.0, 0.823, -0.179, 0.808, -0.283, -0.259, 0.927, 0.519, 0.055, 0.655, -0.204, 0.931, -0.413, 0.638, -0.219, 0.861, -0.874, -0.232, -1.0, b
1, 1.0, 0.025, 0.997, 0.049, 0.975, 0.071, 0.617, -1.0, 0.91, 0.111, 0.885, 0.536, 0.821, 0.141, 0.769, 0.152, 1.0, 0.41, 0.658, 0.164, 0.601, 0.165, 0.544, 0.164, 0.489, 0.16, 0.435, 0.154, 0.384, 0.147, 1.0, 1.0, b
1, -1.0, -0.8571248636248346, 1.0, 1.0, 1.0, -0.144, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.179, -1.0, -1.0, -1.0, 0.088, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 0.0, 0.0, b
1, 1.0, -0.037, 1.0, -0.074, 0.996, -0.11, 0.998, 0.34507194099600236, 0.989, -0.138, -0.9871114413223955, -0.217, 0.953, -0.251, 0.912, -0.344, 0.906, -0.322, 0.9, -0.347, 0.879, -0.376, 0.862, -0.43, 0.832, -0.431, 0.814, -0.426, 0.779, -0.48, 0.751, -0.502, g
1, 0.946, -0.027, -1.0, 0.261, -0.8250225255789754, 0.356, 0.693, -0.634, 1.0, -0.970874741201027, -0.29, -0.0060, -0.549, 0.155, 0.919, -0.463, 1.0, -0.504, -0.297, -0.315, -0.739, 0.374, 0.839, -0.7728930054635026, 0.522, -0.581, 0.4379188533494991, -0.614, -0.096, 0.205, -0.23647400672465424, 0.419, b
1, 1.0, 0.058, 0.945, 0.074, 1.0, 0.132, 1.0, -0.019, 0.948, 0.07, 0.957, 0.146, 0.949, 0.112, 0.909, 0.201, 0.967, 0.5777955613047341, 0.997, 0.143, 0.908, 0.164, 0.917, 0.224, 0.884, 0.236, 0.886, 0.225, 0.783, 0.296, 0.836, 0.312, g
1, 0.638, 1.0, 0.208, -1.0, 1.0, 1.0, 0.877, 0.309, -0.669, 1.0, -0.059, 0.588, 0.018, 0.05, 0.21243922813153815, -1.0, 0.143, -0.033, 0.327, -0.439, -1.0, 1.0, 0.809, -1.0, 1.0, -0.061, 1.0, 1.0, 0.206, -1.0, 1.0, 1.0, b
0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.2689554321740184, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -0.6107749854239577, 1.0, 1.0, -0.7820204495876144, 1.0, -1.0, 1.0, -0.1394359397560907, 1.0, -1.0, 1.0, 0.656, 0.0, 0.0, 1.0, -1.0, b
