@relation  yeast
@attribute Mcg real[0.11,1.0]
@attribute Gvh real[0.13,1.0]
@attribute Alm real[0.21,1.0]
@attribute Mit real[0.0,1.0]
@attribute Erl real[0.5,1.0]
@attribute Pox real[0.0,0.83]
@attribute Vac real[0.0,0.73]
@attribute Nuc real[0.0,1.0]
@attribute Class{MIT,NUC,CYT,ME1,ME2,ME3,EXC,VAC,POX,ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.42, 0.44, 0.48, 0.54, 0.5, 0.0, 0.48, 0.22, MIT
0.5, 0.54, 0.35427344645938685, 0.65, 0.5, 0.0, 0.53, 0.22, MIT
0.4, 0.42, 0.57, 0.35, 0.5, 0.0, 0.53, 0.25, CYT
0.51, 0.51, 0.52, 0.51, 0.5, 0.0, 0.23263665978159676, 0.22, MIT
0.53, 0.54, 0.43, 0.1, 0.5, 0.0, 0.57, 0.32, NUC
0.51, 0.51, 0.43, 0.87, 0.5, 0.0, 0.52, 0.22, MIT
0.74, 0.67, 0.47, 0.34, 0.5, 0.0, 0.42, 0.22, EXC
0.4, 0.45, 0.57, 0.18, 0.5, 0.0, 0.3728527274990577, 0.26, CYT
0.37, 0.36, 0.56, 0.18, 0.5, 0.0, 0.48, 0.26, VAC
0.74, 0.75, 0.58, 0.47, 0.8757746407938596, 0.6915448999082541, 0.4, 0.35, ME2
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.55, 0.32020322659988965, CYT
0.54, 0.48, 0.44, 0.08, 0.5, 0.0, 0.52, 0.27, CYT
0.6, 0.47, 0.45, 0.08921450169040228, 0.5, 0.0, 0.51, 0.29, CYT
0.81, 0.85, 0.47, 0.37, 0.5, 0.0, 0.56, 0.22, EXC
0.5, 0.58, 0.8131155007921894, 0.46, 0.5, 0.0, 0.46, 0.22, MIT
0.51, 0.54, 0.6, 0.57, 0.5, 0.0, 0.58, 0.22, MIT
0.67, 0.62, 0.4, 0.43, 0.5, 0.83, 0.5, 0.22, MIT
0.42, 0.47, 0.52, 0.41, 0.5, 0.0, 0.53, 0.32, CYT
0.36, 0.58, 0.35, 0.24, 0.5, 0.0, 0.44, 0.22, ME3
0.36, 0.43, 0.39, 0.12, 0.5, 0.0, 0.49, 0.22, ME3
