@relation  sonar
@attribute Band1 real[0.002,0.137]
@attribute Band2 real[0.001,0.234]
@attribute Band3 real[0.002,0.306]
@attribute Band4 real[0.006,0.426]
@attribute Band5 real[0.007,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.003,0.373]
@attribute Band8 real[0.006,0.459]
@attribute Band9 real[0.008,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.003,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.008,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.006,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.001,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.001,0.035]
@attribute Band55 real[0.001,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.001,0.044]
@attribute Type{R,M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.10647747814922535, 0.031, 0.017, 0.40424520807206754, 0.036, 0.01, 0.36662993475134253, 0.058, 0.112, 0.084, 0.055, 0.085, 0.203, 0.256, 0.754459735197355, 0.203, 0.146, 0.285, 0.582, 0.773, 0.785, 0.852, 0.531, 0.365, 0.597, 0.828, 1.0, 0.867, 0.023444265039973954, 0.459, 0.394, 0.258, 0.282, 0.264, 0.9258466075565309, 0.27, 0.5632087500272804, 0.458, 0.4872108952729522, 0.252, 0.178, 0.135, 0.052, 0.31582779492154434, 0.089, 0.4301066379095676, 0.087, 0.044, 0.013, 0.022, 0.019, 0.013, 0.026, 0.022, 0.038557092385729096, 0.012, 0.003, 0.037584798111017975, 0.012093174668981967, 0.004, R
0.008, 0.009, 0.15096203702431218, 0.025, 0.1377208184708657, 0.055, 0.053, 0.096, 0.5869767944496072, 0.5213463887493932, 0.11, 0.122, 0.187, 0.338, 0.323, 0.272, 0.394, 0.08541816890878094, 0.727, 0.867, 0.967, 0.9747875304507994, 0.33030512106099746, 0.804, 0.683, 0.4092977084920969, 0.309, 0.0884957013783268, 0.402, 0.234, 0.5274316296333986, 0.124, 0.172, 0.235, 0.249, 0.365, 0.338, 0.159, 0.099, 0.109, 0.671870383984379, 0.084, 0.139, 0.082, 0.068, 0.066, 0.12, 0.069, 0.015, 0.027, 0.06157546426671917, 0.018, 0.013, 0.009, 0.01, 0.03725238546013189, 8.550067117565792E-4, 0.006, 0.006, 0.003, R
0.053584058661615495, 0.009, 0.2281302325059963, 0.028, 0.041, 0.076, 0.103, 0.114, 0.079, 0.152, 0.168, 0.137, 0.136, 0.134, 0.214, 0.535, 0.683, 0.56, 0.5389351045451907, 0.323, 0.443, 0.557, 0.578, 0.617, 0.813, 0.8971012187444375, 0.982, 0.917, 0.742, 0.7889280923525634, 0.3160723278839309, 0.3017875751326297, 0.667, 0.608, 0.624, 0.597, 0.572, 0.524, 0.7131920542973541, 0.154, 0.2, 0.203, 0.221, 0.178, 0.5036362164455085, 0.137, 0.075, 0.2963304438945676, 0.1956537447841032, 0.018, 0.004, 0.008, 0.001, 0.002, 0.0229092825935011, 0.0033658701342916745, 0.012, 0.013, 0.007, 0.040017467587957496, R
0.013, 0.015, 0.064, 0.173, 0.256, 0.0712927321478009, 0.295, 0.411, 0.6630833322876327, 0.592, 0.30890799382559675, 0.542, 0.547, 0.531, 0.498, 0.5105950452996406, 0.8458103563684994, 0.784, 0.6676118284355876, 0.936, 1.0, 0.922, 0.784, 0.547, 0.456, 0.592, 0.7903290862418546, 0.397, 0.088, 0.238, 0.2, 0.059, 0.254, 0.201, 0.033, 0.155, 0.3828926595423586, 0.245, 0.317, 0.32, 0.305, 0.7476820892332313, 0.127, 0.138, 0.393287363866411, 0.052, 0.007, 0.028, 0.037, 0.012, 0.015, 0.0617399796346994, 0.004, 0.01, 0.010411001355715793, 0.001, 0.0315025124409009, 0.009, 0.012, 0.006, R
0.021, 0.013, 0.053, 0.057, 0.2912120128116133, 0.1761225392627815, 0.134, 0.204, 0.157, 0.5025809274864338, 0.37835220921979107, 0.178, 0.151, 0.192, 0.9163037888641244, 0.231, 0.236, 0.13, 0.381, 0.586, 0.45, 0.488, 1.0, 0.868, 0.472, 0.5347078424055846, 0.62, 0.714, 0.56, 0.373, 0.248, 0.192, 0.139, 0.332, 0.288, 0.7371641079991041, 0.261, 0.204, 0.24, 0.159516091382484, 0.068, 0.03511938707696259, 0.072, 0.098, 0.079, 0.052, 0.05, 0.023, 0.022, 0.014, 0.031, 0.039, 0.015, 0.002, 0.01, 0.01, 0.008, 0.018, 0.011, 0.007, R
0.009, 0.027, 0.022, 0.034, 0.03, 0.117, 0.27698556883539666, 0.064, 0.074, 0.136, 0.2614989114649358, 0.374, 0.374, 0.267, 0.43061986613055225, 0.537, 0.731, 0.766, 0.627, 0.44, 0.433, 0.433, 0.8585861228859486, 0.736, 0.859, 0.899, 0.942, 0.31821059553376646, 0.938, 0.858, 0.728, 0.67, 0.755, 0.877, 0.992, 0.992, 0.942, 0.839, 0.66, 0.482, 0.292, 0.177, 0.114, 0.07, 0.158, 0.194, 0.111, 0.069, 0.018, 0.02, 0.031, 0.021, 0.009, 0.006, 0.009, 0.009, 0.007, 0.012, 0.006, 0.011, R
0.07908167239140759, 0.004, 0.064, 0.045, 0.033, 0.069, 0.09, 0.145, 0.074, 0.2320420986453635, 0.146, 0.26139474968039306, 0.32, 0.282, 0.757435156138948, 0.057, 0.216, 0.28390495993148185, 0.382, 0.4300574413556739, 0.648, 0.724, 0.824, 0.877, 1.0, 0.44140307658105227, 0.1946564970823602, 0.509, 0.482, 0.453, 0.452, 0.4949710082737661, 0.9802961173346955, 0.531, 0.536, 0.527, 0.426, 0.244, 0.12, 0.384, 0.6130735811817165, 0.507, 0.422, 0.248, 0.63039829917564, 0.1096289938615237, 0.065, 0.079, 0.19541442531752737, 0.024130636893243212, 0.06201629200065888, 0.009, 0.012, 0.001486097363402624, 0.009, 0.014, 0.007, 0.002, 0.006, 0.012, R
0.09813140697268104, 0.058, 0.062, 0.06, 0.14, 0.188, 0.142, 0.10848867790086397, 0.3454790865491329, 0.086, 0.214, 0.372, 0.266, 0.211, 0.11, 0.114, 0.7991222237386094, 0.414, 0.328, 0.622, 0.21763602089547457, 0.768, 0.787, 0.47471389701280603, 1.0, 0.948, 0.38087402490453653, 0.7087929658453895, 0.544, 0.539, 0.562, 0.5638132187726007, 0.608, 0.562, 0.596, 0.608, 0.35004251676729004, 0.7465468819724738, 0.048, 0.281, 0.342, 0.515, 0.437, 0.247, 0.171, 0.134, 0.084, 0.076, 0.03, 0.007, 0.007, 0.002, 0.01, 0.007, 0.012, 0.007, 0.011918698858450795, 0.007, 0.003, 0.029318561465553603, R
0.022, 0.07750335824734143, 0.008, 0.01, 0.044, 0.091, 0.089, 0.066, 0.162, 0.01794824508553097, 0.144, 0.095, 0.062, 0.257979448852823, 0.071, 0.084, 0.259, 0.8391574148179864, 0.309, 0.42479494214123, 0.596, 0.03199828763026704, 0.877, 0.921, 0.928, 0.994, 1.0, 0.907, 0.854, 0.1151048908562178, 0.65, 0.607, 0.8729692143725625, 0.597, 0.8363317969623795, 0.546, 0.479, 0.396, 0.209, 0.165, 0.184, 0.6034060162150781, 0.076, 0.049, 0.035, 0.03, 0.024, 0.038, 0.0513285663401076, 0.007, 0.005, 0.003, 0.013, 0.01, 0.004, 0.006, 0.003, 0.004, 0.018157801426518197, 0.003, R
0.014, 0.004, 0.005, 0.029, 0.056, 0.093, 0.103, 0.088, 0.16, 0.191, 0.158, 0.111, 0.4318498584958375, 0.117, 0.142, 0.222, 0.5764313386954439, 0.271, 0.386, 0.572, 0.68, 0.546197358477441, 0.5336981519008284, 0.895, 0.842, 0.917, 0.931, 0.905, 0.823, 0.6464933216226039, 0.4584401843399834, 0.492, 0.456, 0.516, 0.6489568384548083, 0.528, 0.514, 0.374, 0.228, 0.119, 0.34339683424387984, 0.043, 0.107, 0.6473827520011418, 0.005, 0.2991009226159893, 0.041, 0.029, 0.019, 0.009, 0.002, 0.004, 0.008, 0.01, 0.01, 0.002, 0.004, 0.003, 0.003, 0.003, R
0.037, 0.04, 0.032, 0.029, 0.2838307380389494, 0.134, 0.116, 0.066, 0.016, 0.051, 0.583201724099508, 0.333187539779392, 0.146, 0.701412893225535, 0.122, 0.167, 0.142, 0.128, 0.186, 0.114, 0.207, 0.022, 0.6245636068900497, 0.255, 0.024, 0.192, 0.5021870687357586, 0.7, 0.682, 0.644, 0.706, 0.537, 0.86070335836073, 0.871, 0.952, 0.96, 0.771, 0.677, 0.643, 0.672, 0.604, 0.516, 0.38, 0.228, 0.152, 0.24764462251510577, 0.08, 0.09098847974021652, 0.057, 0.018, 0.006, 0.009, 0.016, 0.016, 0.008, 0.014472943402704072, 0.00684998260318534, 0.02937044526482244, 0.008, 0.007, R
0.02, 0.014, 0.018, 0.041, 0.039, 0.08067818779188166, 0.089, 0.21870670421810515, 0.084, 0.119, 0.152, 0.132, 0.143, 0.124, 0.065, 0.2800143519151058, 0.123, 0.29951394248230234, 0.388, 0.366, 0.23, 0.261, 0.419, 0.585, 0.564, 0.545, 0.477, 0.69, 0.98, 1.0, 0.955, 0.47078916587256575, 0.766, 0.655, 0.545, 0.459, 0.468, 0.199, 0.07, 0.149, 0.171, 0.7803017947425371, 9.443732821253066E-4, 0.385, 0.375, 0.5852192211316942, 0.3788725225801749, 0.022, 0.016, 0.019, 0.012, 0.003, 0.013805600331585297, 0.012, 0.018697915528364924, 0.002, 0.029442341458388217, 0.004, 0.007, 0.001, R
