@relation  sonar
@attribute Band1 real[0.002,0.137]
@attribute Band2 real[0.001,0.234]
@attribute Band3 real[0.002,0.306]
@attribute Band4 real[0.006,0.426]
@attribute Band5 real[0.007,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.003,0.373]
@attribute Band8 real[0.006,0.459]
@attribute Band9 real[0.008,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.003,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.008,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.006,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.001,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.001,0.035]
@attribute Band55 real[0.001,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.001,0.044]
@attribute Type{R,M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.026, 0.10492563895530199, 0.11, 0.108, 0.11671415524597145, 0.228, 0.08362803078224604, 0.377, 0.56, 0.619, 0.633, 0.706, 0.45203452566569546, 0.532, 0.648, 0.693, 0.676, 0.755, 0.893, 0.862, 0.797, 0.8623213923676688, 0.429, 0.365, 0.533, 0.241, 0.08310791187805773, 0.853, 0.604, 0.851, 0.851, 0.504, 0.186, 0.271, 0.423, 0.304, 0.612, 0.5876366527950476, 0.538, 0.472, 0.465, 0.259, 0.213, 0.222, 0.211, 0.018, 0.135, 0.074, 0.14657555934753633, 0.011, 0.003, 0.023, 0.017, 0.01, 0.018, 0.024, 0.020650906743633308, 0.016, 0.01, 0.008, R
0.022, 0.038, 0.048, 0.048, 0.065, 0.059, 0.075, 0.01, 0.068, 0.149, 0.116, 0.165, 0.39300923352432654, 0.36, 0.171, 0.114, 0.035, 0.38, 0.74, 0.992, 0.98, 0.889, 0.671, 0.429, 0.2233581529761101, 0.737, 0.961, 0.735, 0.486, 0.7160178493745666, 0.301, 0.4261078160691792, 0.4568905186003284, 0.33, 0.341, 0.219, 0.246, 0.6036901129679033, 0.168, 0.279, 0.256, 0.174, 0.20835202202698033, 0.11, 0.098, 0.127, 0.146, 0.116, 0.078, 0.044, 0.006, 0.06772889248158989, 0.013, 0.014, 0.03873235395684194, 0.005, 0.006, 0.009, 0.02299494232679599, 0.002, R
0.009, 0.006, 0.025, 0.049, 0.12, 0.159, 0.139, 0.099, 0.096, 0.19, 0.19, 0.255, 0.407, 0.299, 0.29, 0.7474135281481811, 0.402, 0.157, 0.302, 0.391, 0.354, 0.444, 0.641, 0.46, 0.601, 0.869, 0.834, 0.767, 0.7469750467033534, 0.462, 0.538, 0.538, 0.09479663915159103, 0.36, 0.05861643919968429, 0.776, 0.386, 0.067, 0.368, 0.611, 0.351, 0.231, 0.22, 0.22790695020833682, 0.194, 0.157, 0.048, 0.054, 0.015, 0.007, 0.019, 0.006, 0.01, 0.019, 0.008, 0.015, 0.016, 0.005, 0.007847709924878484, 0.01, R
0.03, 0.062, 0.065, 0.092, 0.162, 0.229, 0.218, 0.203, 0.146, 0.085, 0.248, 0.364, 0.278, 0.283, 0.324, 0.434, 0.564, 0.456, 0.435, 0.643, 0.393, 0.199, 0.354, 0.9513951941578173, 0.937, 0.462, 0.277, 0.45442638863400237, 0.803, 0.42, 0.646623382009711, 0.2052324982339592, 0.579, 0.889, 0.786, 0.713, 0.762, 0.44, 0.301, 0.316, 0.281, 0.29, 0.053, 0.187, 0.155, 0.163, 0.125, 0.075, 0.045, 0.04296512716053173, 0.015, 0.003, 0.015, 0.0028947336468600517, 0.021, 0.008, 0.015, 0.005, 0.02, 0.007, R
0.08972688528586341, 0.14353095824423504, 0.010904981190549438, 0.037, 0.042, 0.312758063956806, 0.031, 0.15721169130695326, 0.30553004675673556, 0.267, 0.338, 0.328, 0.617627549571364, 0.127, 0.128, 0.444, 0.7121069092285137, 0.705, 0.797, 0.94, 0.986, 0.819, 0.579, 0.639, 0.7314673345991102, 0.688, 0.408, 0.6927228946631595, 0.206, 0.392, 0.379, 0.204, 0.223, 0.3964502714442672, 0.398, 0.508, 0.553, 0.335, 0.272, 0.228, 0.8138174903713674, 0.199, 0.743950976031821, 0.091, 0.138, 0.6430814698727525, 0.121, 0.084, 0.059, 0.025, 0.012, 0.009, 0.01, 0.004, 0.009, 0.005, 0.012, 0.002, 0.009, 0.006, R
0.024, 0.022, 0.032, 0.057, 0.033, 0.22814725745053666, 0.11443955374170084, 0.104361285950607, 0.3105131789274777, 0.039, 0.193, 0.243, 0.291, 0.261, 0.381, 0.41611831169927455, 0.302, 0.366, 0.679, 0.07049961155618066, 0.505, 0.444, 0.699, 0.813, 0.778, 0.894, 0.7401868644254718, 0.891, 0.861, 0.806, 0.554, 0.7465274912667292, 0.346, 0.162, 0.247, 0.556, 0.468, 0.098, 0.158, 0.38442260674443623, 0.332, 0.374, 0.15969400134303002, 0.108, 0.142, 0.169, 0.074, 0.063, 0.014, 0.023, 0.006, 0.06869098052468406, 0.015, 0.009, 0.011, 0.011272118793165338, 0.005, 0.002, 0.007, 0.002, R
0.008, 0.015, 0.0689242369800164, 0.043, 0.095, 0.075, 0.041, 0.026, 0.069, 0.175, 0.197, 0.117, 0.12331940387452939, 0.081, 0.218, 0.512, 0.7202706923231647, 0.23126684229058836, 0.622, 0.35, 0.373, 0.262, 0.4578651300188771, 0.736, 0.867, 0.27069443643528374, 0.777, 0.786, 0.565, 0.856306199082012, 0.6178452019351175, 0.7143246338116761, 0.5130524358602828, 0.169, 0.263, 0.32, 0.4616293454837588, 0.105, 0.168, 0.191, 0.117, 0.093, 0.086, 0.095, 0.099, 0.096, 0.043, 0.11107951581875783, 0.011, 0.018, 0.006, 0.024, 0.029227703114791705, 0.014, 0.012, 0.006, 0.008018513640393157, 0.003, 0.027059114585411527, 0.004, R
0.02, 0.1647806766002394, 0.006, 0.019, 0.032, 0.057, 0.1, 0.067, 0.31899431173317006, 0.024, 0.073, 0.064, 0.3, 0.385, 0.7803291916971397, 0.46, 0.746963316386557, 0.416, 0.643, 1.0, 0.863, 0.10795344372465121, 0.316, 0.595, 0.773, 0.604, 0.19634240550090148, 0.549, 0.472, 0.624, 0.385, 0.159, 0.389, 0.529, 0.1838833695039813, 0.448, 0.16412756873856474, 0.503, 0.648, 0.549, 0.5372120252301014, 0.203, 0.188, 0.084, 0.132, 0.159, 0.056, 0.062, 0.034, 0.037, 0.026, 0.016, 0.01208597197804739, 0.027, 0.02, 0.009, 0.01338949574096815, 0.01, 0.002, 0.035762878051205274, R
0.044, 0.048, 0.005, 0.0564420344090187, 0.028, 0.068, 0.166, 0.149, 0.097, 0.127, 0.111, 0.238, 0.201, 0.214, 0.111, 0.204, 0.247, 0.668, 0.834, 0.825, 0.802, 0.898, 0.23035616889185181, 0.852, 0.663, 0.324, 0.4731321794262929, 0.567, 0.573, 0.488, 0.753, 0.76, 0.518, 0.412, 0.556, 0.557, 0.134, 0.383, 0.2803177878692089, 0.433, 0.256, 0.147, 0.349, 0.266, 0.094, 0.137, 0.134, 0.042, 0.072, 0.064, 0.021, 0.02, 0.022, 0.014, 0.006, 0.007, 0.012336405898522678, 0.01, 0.028317933622821683, 0.01, R
0.012, 0.002, 0.02, 0.021, 0.018, 0.049, 0.1384678980087554, 0.04, 0.079, 0.33976281901932387, 0.115, 0.052, 0.119, 0.194, 0.184, 0.208, 0.196, 0.163, 0.122, 0.3515350104597246, 0.7466302794205562, 0.316, 0.464, 0.591, 0.678, 0.708490503913837, 0.859, 0.923, 0.9576208605639686, 0.724, 0.49818874180973244, 0.518, 0.463, 0.526, 0.515, 0.3835567107106458, 0.128, 0.3347635958429341, 0.086, 0.113, 0.18333126306238848, 0.176, 0.265, 0.196, 0.066, 0.058, 0.032, 0.3280293085565859, 0.027, 0.007, 0.03791550817850873, 0.012, 0.017583657621774745, 0.003, 0.004, 0.002, 0.011, 0.006, 0.005, 0.007, R
